model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config,pdl_trigger
kimi_k3,7168,12288,1,8,4,tile_stage,PDL,27.0194,26.9308,3260.882,0.815221,1830,1.657347e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
kimi_k3,7168,12288,1,8,4,tile_stage,PDL,26.9810,26.9212,3265.523,0.816381,1830,1.657347e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
kimi_k3,7168,12288,1,8,4,tile_stage,PDL,27.4030,27.3753,3215.229,0.803807,1830,1.657347e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
kimi_k3,7168,12288,2,8,4,tile_stage,PDL,27.6473,27.6306,3187.786,0.796946,1830,1.644479e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
kimi_k3,7168,12288,2,8,4,tile_stage,PDL,27.5922,27.5723,3194.153,0.798538,1830,1.644479e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
kimi_k3,7168,12288,2,8,4,tile_stage,PDL,28.1639,28.1572,3129.311,0.782328,1830,1.644479e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
kimi_k3,7168,12288,4,8,4,tile_stage,PDL,27.9228,27.9157,3158.234,0.789559,1830,1.656549e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
kimi_k3,7168,12288,4,8,4,tile_stage,PDL,27.8912,27.8005,3161.817,0.790454,1830,1.656549e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
kimi_k3,7168,12288,4,8,4,tile_stage,PDL,28.4153,28.3975,3103.501,0.775875,1830,1.656549e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
kimi_k3,7168,12288,8,8,4,tile_stage,PDL,28.2347,28.2140,3127.126,0.781782,1830,1.664365e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
kimi_k3,7168,12288,8,8,4,tile_stage,PDL,28.2414,28.2332,3126.379,0.781595,1830,1.664365e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
kimi_k3,7168,12288,8,8,4,tile_stage,PDL,28.8245,28.8004,3063.133,0.765783,1830,1.664365e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
qwen36,2048,4096,1,8,4,tile_stage,PDL,4.5838,4.5259,1831.834,0.457958,1830,1.653887e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
qwen36,2048,4096,1,8,4,tile_stage,PDL,4.4942,4.4700,1868.354,0.467089,1830,1.653887e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
qwen36,2048,4096,1,8,4,tile_stage,PDL,5.6996,5.6708,1473.238,0.368309,1830,1.653887e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
qwen36,2048,4096,2,8,4,tile_stage,PDL,4.7993,4.7872,1751.299,0.437825,1830,1.656351e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
qwen36,2048,4096,2,8,4,tile_stage,PDL,4.8306,4.7851,1739.956,0.434989,1830,1.656351e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
qwen36,2048,4096,2,8,4,tile_stage,PDL,6.4523,6.4252,1302.642,0.325660,1830,1.656351e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
qwen36,2048,4096,4,8,4,tile_stage,PDL,4.8686,4.8569,1729.725,0.432431,1830,1.666980e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
qwen36,2048,4096,4,8,4,tile_stage,PDL,4.8377,4.8210,1740.785,0.435196,1830,1.666980e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
qwen36,2048,4096,4,8,4,tile_stage,PDL,6.5472,6.4981,1286.256,0.321564,1830,1.666980e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
qwen36,2048,4096,8,8,4,tile_stage,PDL,4.8935,4.8921,1727.623,0.431906,1830,1.677281e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
qwen36,2048,4096,8,8,4,tile_stage,PDL,4.8988,4.8576,1725.742,0.431436,1830,1.677281e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
qwen36,2048,4096,8,8,4,tile_stage,PDL,6.5351,6.5326,1293.650,0.323412,1830,1.677281e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
glm52,6144,16384,1,8,4,tile_stage,PDL,31.3274,31.2486,3214.186,0.803547,1830,1.671420e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
glm52,6144,16384,1,8,4,tile_stage,PDL,31.3939,31.1494,3207.372,0.801843,1830,1.671420e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,both
glm52,6144,16384,1,8,4,tile_stage,PDL,31.1245,30.9818,3235.137,0.808784,1830,1.671420e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=0;EPI=1;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,store
glm52,6144,16384,2,8,4,tile_stage,PDL,31.6480,31.6403,3182.528,0.795632,1830,1.679704e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=0;SPLITK=0;SK=1;PR=32;SPW=0;PLA=0;SISM=1,producer
