model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config,splitk_on
kimi_k3,7168,12288,1,8,6,splitk,ISO,41.1520,40.7360,2141.014,0.535253,1830,1.657347e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
kimi_k3,7168,12288,1,8,6,splitk,B2B,29.6512,29.6224,2971.448,0.742862,1830,1.657347e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
kimi_k3,7168,12288,1,8,6,splitk,PDL,27.0048,26.8686,3262.642,0.815661,1830,1.657347e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
kimi_k3,7168,12288,1,8,6,splitk,ISO,43.0400,42.7200,2047.096,0.511774,1830,1.657344e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
kimi_k3,7168,12288,1,8,6,splitk,B2B,32.3545,32.3072,2723.177,0.680794,1830,1.657344e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
kimi_k3,7168,12288,1,8,6,splitk,PDL,26.6937,26.6827,3300.668,0.825167,1830,1.657344e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
kimi_k3,7168,12288,8,8,6,splitk,ISO,43.9360,43.5520,2009.591,0.502398,1830,1.664365e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
kimi_k3,7168,12288,8,8,6,splitk,B2B,32.7310,32.7243,2697.544,0.674386,1830,1.664365e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
kimi_k3,7168,12288,8,8,6,splitk,PDL,28.0377,28.0363,3149.096,0.787274,1830,1.664365e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1,0
kimi_k3,7168,12288,8,8,6,splitk,ISO,47.1040,46.6240,1874.435,0.468609,1830,1.664362e-03,1,M_TILE=8;BM=56;WG=2;REG=80;STG=3;TILES=1;SUBS=2;PREPACK=1;PDL=1;EPI=1;SPLITK=1;PR=32;SPW=0;PLA=0;SISM=1,1
