model,N,K,M,dtype,protocol,latency_us_p50,bandwidth_gbps,pct_of_spec_peak,algo_desc,clocks_sm_mhz
kimi_k3,7168,12288,1,fp8,B2B,31.9193,2760.306,0.690077,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=57360B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,1,fp8,ISO,46.2400,1905.428,0.476357,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=57360B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,1,bf16,B2B,56.3527,3126.984,0.781746,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=114704B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,1,bf16,ISO,71.2320,2473.804,0.618451,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=114704B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,2,fp8,B2B,32.0857,2746.821,0.686705,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=114704B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,2,fp8,ISO,46.4960,1895.510,0.473877,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=114704B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,2,bf16,B2B,56.3897,3125.878,0.781469,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=229392B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,2,bf16,ISO,71.4880,2465.690,0.616423,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=229392B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,4,fp8,B2B,32.4171,2720.384,0.680096,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=229392B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,4,fp8,ISO,46.4960,1896.655,0.474164,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=229392B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,4,bf16,B2B,56.8871,3100.417,0.775104,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=458768B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,4,bf16,ISO,71.1360,2479.388,0.619847,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=458768B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,8,fp8,B2B,32.6542,2703.889,0.675972,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=458768B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,8,fp8,ISO,46.2720,1908.138,0.477035,algo_id=66;tile=256x8(486);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=458768B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,8,bf16,B2B,57.3522,3078.990,0.769747,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=917520B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,8,bf16,ISO,71.7440,2461.345,0.615336,algo_id=66;tile=384x8(537);stages=64xAUTO(35);splitk=4;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=1x1x1(2);ws=917520B;waves=0.24;heur=8;rank=2;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,16,fp8,B2B,33.6064,2633.616,0.658404,algo_id=66;tile=256x16(487);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=917520B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,16,fp8,ISO,47.0400,1881.513,0.470378,algo_id=66;tile=256x16(487);stages=128xAUTO(36);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=4x1x1(4);ws=917520B;waves=0.36;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,16,bf16,B2B,59.1915,2990.511,0.747628,algo_id=66;tile=64x16(312);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=917524B;waves=1.44;heur=8;rank=4;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,16,bf16,ISO,73.1520,2419.794,0.604948,algo_id=66;tile=64x16(312);stages=64xAUTO(35);splitk=2;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=917524B;waves=1.44;heur=8;rank=4;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,fp8,B2B,37.5815,2366.386,0.591596,algo_id=66;tile=320x32(517);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=5;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,fp8,ISO,50.3360,1766.774,0.441694,algo_id=66;tile=320x32(517);stages=128xAUTO(36);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=5;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,bf16,B2B,62.7040,2836.577,0.709144,algo_id=66;tile=320x32(517);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,32,bf16,ISO,76.4480,2326.610,0.581653,algo_id=66;tile=320x32(517);stages=64xAUTO(35);splitk=3;red=COMPUTE_TYPE;cta_swz=0;custom=1;inner=UNDEFINED(0);cluster=2x1x1(3);ws=2752528B;waves=0.29;heur=8;rank=7;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,64,fp8,B2B,46.5358,1929.359,0.482340,algo_id=66;tile=96x64(27);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.96;heur=8;rank=1;searched=8;fast_accum=0,1830
kimi_k3,7168,12288,64,fp8,ISO,52.5120,1709.787,0.427447,algo_id=66;tile=96x64(27);stages=128xAUTO(36);splitk=1;red=NONE;cta_swz=0;custom=0;inner=UNDEFINED(0);cluster=2x1x1(3);ws=0B;waves=0.96;heur=8;rank=1;searched=8;fast_accum=0,1830
