model,N,K,M,m_tile,step,step_name,protocol,latency_us_p50,latency_us_p30,bandwidth_gbps,pct_of_spec_peak,clocks_sm_mhz,rel_l2,pass,config
deepseek_v4_pro,7168,16384,1,8,0,baseline,B2B,45.2096,45.2006,2598.369,0.649592,1830,1.682975e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,1,8,0,baseline,ISO,57.2800,56.7680,2050.825,0.512706,1830,1.682975e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,1,8,0,baseline,PDL,43.6365,43.6013,2692.042,0.673010,1830,1.682975e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,2,8,0,baseline,B2B,47.1475,47.1238,2492.219,0.623055,1830,1.681628e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,2,8,0,baseline,ISO,58.9760,58.4960,1992.369,0.498092,1830,1.681628e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,2,8,0,baseline,PDL,45.5949,45.5520,2577.087,0.644272,1830,1.681628e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,4,8,0,baseline,B2B,47.5469,47.4854,2472.579,0.618145,1830,1.670621e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,4,8,0,baseline,ISO,59.1360,58.5600,1988.017,0.497004,1830,1.670621e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,4,8,0,baseline,PDL,45.9552,45.9258,2558.217,0.639554,1830,1.670621e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,8,8,0,baseline,B2B,48.0000,47.9910,2451.797,0.612949,1830,1.670905e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,8,8,0,baseline,ISO,60.0640,59.6480,1959.348,0.489837,1830,1.670905e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,8,8,0,baseline,PDL,46.3712,46.3187,2537.917,0.634479,1830,1.670905e-03,1,M_TILE=8;BM=64;WG=4;REG=112;STG=2;TILES=1;SUBS=1;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,16,16,0,baseline,B2B,56.4262,56.3168,2090.021,0.522505,1830,1.669845e-03,1,M_TILE=16;BM=56;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,16,16,0,baseline,ISO,67.7760,67.2960,1740.026,0.435007,1830,1.669845e-03,1,M_TILE=16;BM=56;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,16,16,0,baseline,PDL,54.7379,54.7341,2154.485,0.538621,1830,1.669845e-03,1,M_TILE=16;BM=56;WG=2;REG=112;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=1
deepseek_v4_pro,7168,16384,32,32,0,baseline,B2B,87.9162,87.7696,1347.005,0.336751,1830,1.670198e-03,1,M_TILE=32;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
deepseek_v4_pro,7168,16384,32,32,0,baseline,ISO,92.3840,91.9360,1281.862,0.320466,1830,1.670198e-03,1,M_TILE=32;BM=56;WG=2;REG=168;STG=2;TILES=2;SUBS=2;PREPACK=0;PDL=0;EPI=0;SPLITK=0;PR=32;SPW=0;PLA=0;SISM=0
